iter	Passed	Remaining
684	7825	3598
685	7835	3586
686	7844	3574
687	7853	3561
688	7863	3549
689	7873	3537
690	7882	3525
691	7896	3514
692	7907	3503
693	7919	3491
694	7931	3480
695	7940	3468
696	7966	3463
697	7995	3459
698	8005	3447
699	8014	3434
700	8023	3422
701	8033	3410
702	8043	3397
703	8051	3385
704	8060	3372
705	8069	3360
706	8077	3347
707	8086	3335
708	8095	3322
709	8104	3310
710	8113	3297
711	8123	3285
712	8132	3273
713	8141	3261
714	8151	3249
715	8160	3236
716	8169	3224
717	8179	3212
718	8189	3200
719	8199	3188
720	8209	3176
721	8220	3165
722	8230	3153
723	8240	3141
724	8253	3130
725	8267	3120
726	8279	3109
727	8289	3097
728	8300	3085
729	8312	3074
730	8323	3062
731	8333	3051
732	8344	3039
733	8354	3027
734	8363	3015
735	8372	3003
736	8381	2990
737	8396	2980
738	8416	2972
739	8433	2962
740	8443	2951
741	8461	2942
742	8477	2932
743	8493	2922
744	8510	2912
745	8524	2902
746	8533	2890
747	8544	2878
748	8556	2867
749	8566	2855
750	8577	2843
751	8586	2831
752	8596	2819
753	8609	2809
754	8621	2797
755	8633	2786
756	8645	2775
757	8659	2764
758	8671	2753
759	8683	2742
760	8696	2731
761	8709	2720
762	8721	2709
763	8731	2697
764	8741	2685
765	8751	2673
766	8760	2661
767	8769	2649
768	8778	2636
769	8786	2624
770	8796	2612
771	8807	2601
772	8820	2590
773	8830	2578
774	8842	2567
775	8855	2556
776	8864	2544
777	8876	2532
778	8889	2522
779	8900	2510
780	8911	2498
781	8924	2487
782	8936	2476
783	8945	2464
784	8956	2453
785	8967	2441
786	9010	2438
787	9025	2428
788	9036	2416
789	9045	2404
790	9057	2393
791	9068	2381
792	9078	2369
793	9088	2358
794	9097	2346
795	9106	2333
796	9116	2322
797	9125	2309
798	9134	2298
799	9143	2285
800	9154	2274
801	9164	2262
802	9174	2250
803	9184	2239
804	9193	2226
805	9203	2215
806	9211	2203
807	9222	2191
808	9234	2180
809	9244	2168
810	9255	2157
811	9266	2145
812	9275	2133
813	9287	2122
814	9298	2110
815	9307	2098
816	9319	2087
817	9330	2075
818	9342	2064
819	9354	2053
820	9370	2043
821	9383	2032
822	9394	2020
823	9406	2009
824	9425	1999
825	9447	1990
826	9465	1980
827	9476	1968
828	9487	1957
829	9497	1945
830	9507	1933
831	9519	1922
832	9528	1910
833	9536	1898
834	9546	1886
835	9556	1874
836	9566	1862
837	9575	1851
838	9585	1839
839	9595	1827
840	9605	1815
841	9615	1804
842	9624	1792
843	9634	1780
844	9643	1768
845	9652	1757
846	9663	1745
847	9673	1733
848	9685	1722
849	9696	1711
850	9707	1699
851	9718	1688
852	9728	1676
853	9738	1664
854	9749	1653
855	9759	1641
856	9770	1630
857	9784	1619
858	9794	1607
859	9805	1596
860	9817	1585
861	9828	1573
862	9838	1561
863	9851	1550
864	9862	1539
865	9871	1527
866	9882	1515
867	9893	1504
868	9902	1492
869	9913	1481
870	9923	1469
871	9933	1458
872	9943	1446
873	9953	1434
874	9965	1423
875	9975	1412
876	9987	1400
877	10021	1392
878	10049	1383
879	10063	1372
880	10077	1361
881	10090	1349
882	10101	1338
883	10114	1327
884	10128	1316
885	10143	1305
886	10158	1294
887	10168	1282
888	10180	1271
889	10192	1259
890	10202	1248
891	10214	1236
892	10225	1225
893	10234	1213
894	10244	1201
895	10254	1190
896	10263	1178
897	10275	1167
898	10284	1155
899	10297	1144
900	10313	1133
901	10329	1122
902	10346	1111
903	10361	1100
904	10380	1089
905	10391	1078
906	10402	1066
907	10413	1055
908	10425	1043
909	10438	1032
910	10461	1022
911	10481	1011
912	10514	1001
913	10530	990
914	10546	979
915	10555	968
916	10565	956
917	10574	944
918	10583	932
919	10593	921
920	10602	909
921	10611	897
922	10621	886
923	10631	874
924	10641	862
925	10651	851
926	10660	839
927	10671	827
928	10683	816
929	10694	804
930	10707	793
931	10721	782
932	10733	770
933	10746	759
934	10757	747
935	10770	736
936	10783	725
937	10795	713
938	10805	701
939	10819	690
940	10829	679
941	10841	667
942	10852	655
943	10863	644
944	10875	632
945	10886	621
946	10901	610
947	10913	598
948	10923	587
949	10934	575
950	10946	564
951	10958	552
952	10970	541
953	10982	529
954	10992	517
955	11001	506
956	11010	494
957	11026	483
958	11069	473
959	11079	461
960	11089	450
961	11099	438
962	11108	426
963	11118	415
964	11127	403
965	11137	391
966	11146	380
967	11161	368
968	11171	357
969	11181	345
970	11191	334
971	11202	322
972	11211	311
973	11221	299
974	11233	288
975	11246	276
976	11258	265
977	11275	253
978	11293	242
979	11311	230
980	11329	219
981	11345	207
982	11358	196
983	11370	184
984	11382	173
985	11396	161
986	11410	150
987	11422	138
988	11436	127
989	11447	115
990	11460	104
991	11480	92
992	11501	81
993	11519	69
994	11531	57
995	11544	46
996	11555	34
997	11565	23
998	11575	11
999	11592	0
